SPI,IQ,Package(LPA)
6.68,102,3.91
6.83,109,4.09
8.01,135,7.92
9.49,153,12.24
6.24,102,3.39
6.74,96,4.16
7.48,118,5.6
7.85,139,8.83
6.15,100,3.09
8.05,122,7.86
6.43,115,3.31
7.08,110,5.26
6.08,105,2.59
6.48,151,5.47
8.37,134,8.94
6.35,122,5.04
8.35,139,8.63
7.14,109,5.13
8.58,125,8.21
6.41,92,3.2
6.98,92,3.76
6.69,151,6.0
6.32,121,4.33
6.45,111,3.92
9.88,149,12.42
6.68,133,5.89
9.72,124,10.31
9.08,94,8.63
7.29,114,4.97
6.46,128,4.84
7.15,126,6.07
8.13,84,5.35
7.35,90,5.2
7.02,134,5.95
9.04,127,8.69
7.4,154,7.6
9.32,157,12.18
9.75,94,9.4
6.27,139,5.57
6.56,143,5.9
6.81,93,3.97
8.66,121,8.66
7.44,150,8.48
7.76,110,6.32
7.85,104,6.41
6.93,151,7.75
7.54,123,6.85
6.47,155,6.58
8.51,106,7.99
8.48,122,8.35
9.58,143,11.58
6.99,139,6.01
6.13,125,4.25
7.37,145,7.66
6.44,147,5.6
9.19,91,7.94
6.92,137,6.62
8.78,123,9.89
7.01,107,3.98
7.85,155,9.7
6.61,126,6.24
6.07,149,5.15
9.73,125,11.45
8.83,92,7.87
8.31,128,9.32
9.74,154,12.42
7.8,89,5.58
8.37,111,8.34
6.22,106,2.73
8.15,153,8.62
7.39,107,5.46
6.9,116,5.93
6.56,94,1.97
9.66,108,10.19
8.32,130,8.51
6.34,159,5.58
8.01,127,7.88
6.84,151,6.72
6.82,95,3.87
8.26,85,6.0
9.1,116,8.17
7.6,124,7.45
6.62,94,2.74
8.58,112,7.87
6.1,92,2.77
6.11,97,3.21
6.92,133,5.73
8.61,99,7.91
6.4,99,3.61
9.32,111,9.91
8.67,96,7.94
6.05,86,1.75
6.83,82,3.42
7.69,151,7.8
9.27,107,9.04
8.36,101,6.57
8.5,112,7.06
7.18,155,8.46
9.05,91,8.13
7.7,81,5.1
8.53,100,6.7
6.56,146,5.93
6.69,101,4.1
6.07,153,5.39
7.1,124,5.41
8.61,146,10.15
8.4,133,9.44
6.7,153,5.63
8.08,83,5.17
6.67,139,5.88
6.98,111,4.63
7.15,108,4.71
8.27,118,8.47
8.65,154,10.07
6.12,100,3.09
8.38,84,7.74
7.34,141,7.18
6.43,86,2.64
8.75,114,9.59
6.99,145,7.05
7.09,127,6.52
7.44,87,4.69
6.74,123,5.44
9.49,138,11.66
8.77,147,10.93
7.0,119,5.66
6.72,125,5.29
9.66,82,8.38
9.7,157,13.28
9.78,117,10.92
7.28,146,7.37
6.15,127,3.93
6.31,135,4.72
7.36,137,6.98
8.16,143,8.75
7.28,130,6.69
6.93,81,3.85
9.48,81,8.55
9.76,143,12.7
9.99,108,10.62
7.92,130,8.54
9.49,158,12.16
7.69,139,8.56
6.96,88,3.15
7.19,98,4.32
6.17,81,1.87
7.54,134,7.4
6.87,155,7.48
8.45,93,7.13
8.43,121,8.66
6.92,94,3.73
9.12,108,8.86
6.23,157,6.52
8.78,92,7.37
9.26,97,8.97
8.37,126,7.78
6.37,150,5.43
9.55,156,12.21
9.45,144,11.93
6.35,112,4.81
7.49,100,5.46
6.32,97,3.89
8.73,86,7.25
7.92,127,8.28
9.3,107,9.79
7.07,150,8.06
9.19,132,10.89
8.79,134,10.03
8.47,140,9.36
7.34,139,7.2
6.64,145,6.04
6.03,102,3.3
8.47,158,9.66
8.54,123,9.1
9.12,88,8.26
9.85,107,11.34
8.53,154,10.04
7.2,136,6.8
6.27,126,4.94
6.18,149,4.55
9.89,157,12.85
9.03,81,7.8
6.09,105,3.71
8.73,115,8.68
7.09,159,6.91
6.65,143,4.85
8.77,97,8.01
8.62,101,7.51
9.8,92,10.03
7.68,131,7.36
7.59,101,5.71
9.58,98,9.68
6.85,82,2.67
9.46,117,10.99
9.87,94,10.11
9.08,147,11.24
9.04,130,10.18
9.19,118,10.13
6.47,90,2.6
6.8,119,5.95
6.26,126,4.74
7.24,116,5.45
6.05,85,1.62
8.4,103,6.24
8.78,148,9.98
6.97,158,7.32
6.57,119,5.34
8.24,80,6.42
7.31,121,6.05
6.13,86,1.72
7.59,90,6.08
9.2,96,9.02
6.67,88,3.94
6.13,154,5.92
6.21,123,4.42
8.86,144,10.62
7.36,145,8.13
7.81,131,7.77
8.11,138,8.29
9.49,97,9.09
9.9,106,10.86
8.63,119,8.42
8.22,137,8.81
6.8,134,5.86
6.29,82,2.05
9.47,138,10.51
8.97,114,8.53
9.95,83,8.82
9.47,126,11.58
7.95,149,8.62
9.6,113,10.68
9.65,96,8.81
8.49,130,8.67
8.86,152,11.02
6.72,99,3.88
6.99,149,7.52
7.78,121,7.68
6.65,111,3.48
9.88,100,9.61
9.09,90,8.76
9.88,116,11.1
7.35,146,6.86
7.72,99,6.64
6.67,93,3.92
6.15,138,4.54
9.38,144,12.5
8.34,149,9.5
7.08,84,3.76
8.12,154,9.81
6.17,91,2.85
7.82,121,7.36
7.96,133,8.62
6.81,133,5.25
9.88,87,9.3
9.47,94,10.1
7.99,129,8.11
9.48,125,11.26
6.86,132,6.41
7.58,132,7.41
10.0,83,9.27
9.91,112,11.08
8.27,139,9.2
9.23,140,10.35
9.19,114,9.5
8.18,80,5.92
7.3,109,6.35
7.55,115,5.93
6.95,109,5.67
8.48,117,8.81
7.52,149,6.74
6.1,107,4.2
7.52,111,6.6
8.43,141,10.63
9.25,137,11.23
6.97,154,7.28
6.24,154,5.3
7.94,100,6.24
7.14,104,5.07
7.25,128,7.1
8.86,101,7.78
6.72,134,5.53
6.73,122,4.76
8.27,100,7.2
9.85,118,11.21
6.17,130,5.02
9.81,128,11.54
6.91,96,4.14
8.44,112,7.36
9.12,101,8.44
9.29,113,9.39
8.5,116,8.44
8.35,93,7.17
6.87,87,3.8
6.09,131,4.71
6.93,111,6.02
8.38,119,7.81
7.71,137,8.59
8.77,159,11.27
7.1,86,4.81
6.34,151,5.44
6.91,108,4.21
6.28,121,4.23
9.52,132,10.36
8.13,105,7.62
9.98,132,11.46
8.23,138,8.51
8.25,156,9.77
6.7,135,5.73
6.39,116,3.37
9.02,107,9.44
9.71,98,10.12
7.6,92,5.91
8.08,129,8.18
6.36,140,5.29
9.13,136,10.48
6.14,104,2.59
6.35,154,5.23
8.22,104,6.59
8.4,121,7.27
9.68,119,10.85
7.52,150,7.99
9.47,144,11.31
